cornerstone_investor,stock_code,company_name
3W Fund,01304,"Fortior Technology (Shenzhen) Co., Ltd.- H shares"
3W Fund,01879,"Shanghai Xizhi Technology Co., Ltd. - P - H Shares"
3W Fund,02676,"Suzhou Novosense Microelectronics Co., Ltd. - H shares"
3W Fund,03296,"Huaqin Co., Ltd. - H Shares"
3W Fund Management Limited,02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
3W Fund Management Limited,03277,Gpixel Changchun Microelectronics Inc. - H Shares
3W Fund Management Limited,03986,GigaDevice Semiconductor Inc. - H shares
3W Fund Management Limited,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
3W Fund Management Limited,06166,"CIG SHANGHAI CO., LTD. - H shares"
3W Fund Management Limited,06656,"Sigenergy Technology Co., Ltd. - H Shares"
3W Fund Management Limited,06687,JST Group Corporation Limited
abrdn Asia Limited,06809,"Montage Technology Co., Ltd. - H shares"
Abstract Enigma Limited,00100,MiniMax Group Inc. - W - P
Abstract Enigma Limited,03750,"Contemporary Amperex Technology Co., Limited - H shares"
Abu Dhabi Investment Authority,00100,MiniMax Group Inc. - W - P
Abu Dhabi Investment Authority,02675,"Shenzhen Edge Medical Co., Ltd.- B - H shares"
Action Chain International Limited,06831,Green Tea Group Limited
Aether Wave Fund L.P.,03355,FS.COM Ltd. - H Shares
AGIC Partners Holding (Cayman) II Limited,06809,"Montage Technology Co., Ltd. - H shares"
AIM,07618,"JINGDONG Industrials, Inc."
"AKESO,INC.",02617,"TransThera Sciences (Nanjing), Inc. - B - H shares"
Al-Rayyan Holding LLC,09980,"Eastroc Beverage (Group) Co., Ltd. - H shares"
Alibaba Investment,01879,"Shanghai Xizhi Technology Co., Ltd. - P - H Shares"
Alisoft China Holding Limited,00100,MiniMax Group Inc. - W - P
Alisoft China Holding Limited,06809,"Montage Technology Co., Ltd. - H shares"
Allianz Global Investors Asia Pacific Limited,02543,"DAHON TECH (SHENZHEN) CO., LTD. - H shares"
Alphahill Capital Limited,00600,"Axera Semiconductor Co., Ltd. - H shares"
Alphahill Capital Limited,09903,"Shanghai Iluvatar CoreX Semiconductor Co., Ltd. - H shares"
Alphahill Future Fund,03317,"Shenzhen Xunce Technology Co., Ltd.- H shares"
Alpine Investment Management Limited,06166,"CIG SHANGHAI CO., LTD. - H shares"
Amazing Mountain Limited,09980,"Eastroc Beverage (Group) Co., Ltd. - H shares"
"Anhui Shengchang Chemical Co., Ltd.",02560,"Anhui Conch Material Technology Co., Ltd. - H shares"
Anji Liangshan Rural Revitalization Equity Investment Partnership (Limited Partnership),06831,Green Tea Group Limited
"AnkeBio (Hong Kong) Co., Limited",02659,"Shanghai Bao Pharmaceuticals Co., Ltd. - B - H shares"
"AnkeBio (HongKong) Co., Limited",02561,VISEN Pharmaceuticals -B
Aqua Ocean Limited,06166,"CIG SHANGHAI CO., LTD. - H shares"
Aranda Investments Pte. Ltd,06656,"Sigenergy Technology Co., Ltd. - H Shares"
Aranda Investments Pte. Ltd.,06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
Arc Avenue Asset Management Pte. Ltd.,02259,Zijin Gold International Company Limited
Arc Avenue Asset Management Pte. Ltd.,02590,"Beijing Geekplus Technology Co., Ltd. - W - H shares"
Arc Avenue Asset Management Pte. Ltd.,02698,Softcare Limited
Arc Avenue Asset Management Pte. Ltd.,03277,Gpixel Changchun Microelectronics Inc. - H Shares
Arc Avenue Asset Management Pte. Ltd.,06166,"CIG SHANGHAI CO., LTD. - H shares"
Arc Avenue Asset Management Pte. Ltd.,06938,"Suzhou Ribo Life Science Co., Ltd. - B - H shares"
Arcane Nexus Limited,02698,Softcare Limited
Aspex,01879,"Shanghai Xizhi Technology Co., Ltd. - P - H Shares"
Aspex Master Fund,00100,MiniMax Group Inc. - W - P
Aspex Master Fund,00470,"WUXI LEAD INTELLIGENT EQUIPMENT CO., LTD. - H shares"
Aspex Master Fund,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
Aspex Master Fund,06809,"Montage Technology Co., Ltd. - H shares"
Aspirational China Growth GP Limited,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
Athos Capital Limited,02026,Pony AI Inc. - W
Aurora SF,03296,"Huaqin Co., Ltd. - H Shares"
Awaken Thunder Capital Limited,03378,"Hanx Biopharmaceuticals (Wuhan) Co., Ltd. - B - H shares"
Awinic Technology Limited,03296,"Huaqin Co., Ltd. - H Shares"
AXA Investment Managers UK Limited,06656,"Sigenergy Technology Co., Ltd. - H Shares"
Azure Skylines Limited,09980,"Eastroc Beverage (Group) Co., Ltd. - H shares"
BA HM Limited,02698,Softcare Limited
BA Sprout Limited,02698,Softcare Limited
Baillie Gifford,01879,"Shanghai Xizhi Technology Co., Ltd. - P - H Shares"
Baillie Gifford & Co,02259,Zijin Gold International Company Limited
Baillie Gifford Overseas Limited,02259,Zijin Gold International Company Limited
Baoyue Lake Shenzhen Industrial Investment Win-Win Enterprise Management Limited,03268,"MeiG Smart Technology Co., Ltd. - H Shares"
Baring Asset Management (Asia) Limited,01989,Delton Technology (Guangzhou) Inc. - H Shares
Baring Asset Management (Asia) Limited,06166,"CIG SHANGHAI CO., LTD. - H shares"
Baring Asset Management (Asia) Limited,06656,"Sigenergy Technology Co., Ltd. - H Shares"
Baring Asset Management (Asia) Limited,06809,"Montage Technology Co., Ltd. - H shares"
Beijing Denov Ruilang Phase XV Equity Investment Fund Center,02575,"Xuanzhu Biopharmaceutical Co., Ltd. - B - H shares"
Beijing Shunao Business Information Consulting Partnership (Limited Partnership) (北京順澳商務信息諮詢合夥企業 (有限合夥)),02698,Softcare Limited
Beijing Xunrui Enterprise Management Partnership (Limited Partnership),02629,Mirxes Holding Company Limited - B
Beijing Yuanfeng Asset Management L.L.P.,03986,GigaDevice Semiconductor Inc. - H shares
BeingBoom Capital,02692,"Shenzhen Zhaowei Machinery & Electronics Co., Ltd. - H Shares"
BESS Broadway Limited,09927,"Seres Group Co., Ltd. - H shares"
BEST CHEER DEVELOPMENT LIMITED,09981,"Shenzhen Woer Heat-Shrinkable Material Co., Ltd. - H Shares"
BioNTech SE,09606,"Duality Biotherapeutics, Inc. - B"
Black Dragon AP SPV1,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Black Dragon AP SPV1,06603,IFBH Limited
BlackRock,01768,"BUSY MING GROUP CO., LTD.- H shares"
BlackRock,01879,"Shanghai Xizhi Technology Co., Ltd. - P - H Shares"
BlackRock Funds,02259,Zijin Gold International Company Limited
BlackRock Funds,06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
BlackRock Funds,09980,"Eastroc Beverage (Group) Co., Ltd. - H shares"
"Blue Lake Capital Opportunity Fund I, L.P.",06687,JST Group Corporation Limited
"Bosera Asset Management (International) Co., Limited",02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Bosera International,01768,"BUSY MING GROUP CO., LTD.- H shares"
Boyu Capital Management (Singapore) Pte. Ltd.,03277,Gpixel Changchun Microelectronics Inc. - H Shares
Bridge Zone Group,02692,"Shenzhen Zhaowei Machinery & Electronics Co., Ltd. - H Shares"
Bridge Zone Group Limited,03636,"Yunnan Jinxun Resources Co., Ltd. - H shares"
Bright Stone Holdings Limited,06938,"Suzhou Ribo Life Science Co., Ltd. - B - H shares"
Brilliant Partners Fund LP and China Core Fund,02788,Chuangxin Industries Holdings Limited
Burkehill,07618,"JINGDONG Industrials, Inc."
Caitong Funds SPC — Strategic Equity Fund III SP,03355,FS.COM Ltd. - H Shares
"CALB Group Co., Ltd.",02579,"CNGR Advanced Material Co., Ltd. - H shares"
Cao Ke,09881,"Rongta Technology (Xiamen) Group Co., Ltd. - H shares"
"CAPCHEM (HONGKONG) CO., LIMITED",09981,"Shenzhen Woer Heat-Shrinkable Material Co., Ltd. - H Shares"
